STAGING AREA,2023-06-09 00:00:00,2023-06-16 00:00:00,2023-06-23 00:00:00,2023-06-30 00:00:00,2023-07-07 00:00:00,2023-07-14 00:00:00,2023-07-21 00:00:00,2023-07-28 00:00:00,2023-08-04 00:00:00,2023-08-11 00:00:00,2023-08-18 00:00:00,2023-08-25 00:00:00,2023-09-01 00:00:00,2023-09-08 00:00:00,2023-09-15 00:00:00,2023-09-22 00:00:00,2023-09-29 00:00:00,2023-10-06 00:00:00,2023-10-13 00:00:00,2023-10-20 00:00:00,2023-10-27 00:00:00,2023-11-03 00:00:00,2023-11-10 00:00:00,2023-11-17 00:00:00,2023-11-24 00:00:00,2023-12-01 00:00:00,2023-12-08 00:00:00,2023-12-15 00:00:00,2023-12-22 00:00:00,2023-12-29 00:00:00,2024-01-05 00:00:00,2024-01-12 00:00:00,2024-01-19 00:00:00,2024-01-26 00:00:00,2024-02-02 00:00:00,2024-02-09 00:00:00,2024-02-16 00:00:00,2024-02-23 00:00:00,2024-03-01 00:00:00,2024-03-08 00:00:00,2024-03-15 00:00:00,2024-03-22 00:00:00,2024-03-29 00:00:00,2024-04-05 00:00:00,2024-04-12 00:00:00,2024-04-19 00:00:00,2024-04-26 00:00:00,2024-05-03 00:00:00,2024-05-10 00:00:00,2024-05-17 00:00:00,2024-05-24 00:00:00,2024-05-31 00:00:00,2024-06-07 00:00:00,2024-06-14 00:00:00,2024-06-21 00:00:00,2024-06-28 00:00:00,2024-07-05 00:00:00,2024-07-12 00:00:00,2024-07-19 00:00:00,2024-07-26 00:00:00,2024-08-02 00:00:00,2024-08-09 00:00:00,2024-08-16 00:00:00,2024-08-23 00:00:00,2024-08-30 00:00:00,2024-09-06 00:00:00
Walnut,,,,,,,,,,,,,,,,401.0,544.0,804.0,798.0,798.0,786.0,795.0,780.0,839.0,875.0,854.0,863.0,881.0,877.0,880.0,879.0,878.0,856.0,843.0,860.0,854.0,829.0,839.0,824.0,758.0,635.0,566.0,527.0,732.0,760.0,717.0,689.0,791.0,768.0,754.0,708.0,699.0,654.0,617.0,596.0,320.0,528.0,489.0,470.0,453.0,437.0,421.0,394.0,388.0,376.0,338.0
West Lake,,,,,,,,,,,,,,,,,,,144.0,150.0,315.0,303.0,300.0,286.0,299.0,299.0,298.0,297.0,299.0,296.0,298.0,300.0,295.0,292.0,292.0,294.0,285.0,281.0,268.0,247.0,234.0,216.0,203.0,182.0,168.0,197.0,216.0,213.0,229.0,202.0,192.0,199.0,226.0,286.0,260.0,257.0,290.0,284.0,277.0,261.0,276.0,284.0,282.0,282.0,279.0,291.0
YWLA,247.0,248.0,248.0,243.0,246.0,248.0,247.0,248.0,249.0,240.0,210.0,248.0,250.0,247.0,246.0,245.0,250.0,249.0,249.0,243.0,248.0,244.0,246.0,248.0,246.0,241.0,245.0,248.0,248.0,256.0,259.0,260.0,257.0,232.0,217.0,198.0,207.0,196.0,237.0,223.0,216.0,195.0,191.0,182.0,208.0,196.0,159.0,158.0,196.0,189.0,173.0,151.0,190.0,210.0,220.0,222.0,225.0,218.0,235.0,238.0,229.0,237.0,232.0,238.0,222.0,208.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INACTIVE SHELTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,79.0,69.0,,,,,,,,,,,,,,,,,,,,,,,
Brands Park,169.0,155.0,144.0,160.0,130.0,145.0,150.0,150.0,151.0,152.0,150.0,150.0,145.0,146.0,139.0,151.0,145.0,150.0,145.0,148.0,150.0,146.0,142.0,134.0,119.0,142.0,139.0,149.0,145.0,148.0,150.0,150.0,138.0,147.0,147.0,149.0,138.0,136.0,118.0,111.0,107.0,109.0,115.0,90.0,78.0,,,,,,,,,,,,,,,,,,,,,
Broadway Armory,,,,,,,,,267.0,269.0,343.0,347.0,350.0,349.0,350.0,350.0,347.0,347.0,349.0,329.0,345.0,344.0,344.0,317.0,340.0,345.0,341.0,342.0,344.0,350.0,343.0,346.0,338.0,310.0,295.0,282.0,251.0,254.0,237.0,231.0,223.0,208.0,195.0,40.0,,,,,,,,,,,,,,,,,,,,,,
Casa Esperanza,,,,,,,,,,,,,,,,,,,,31.0,37.0,41.0,41.0,43.0,45.0,39.0,42.0,54.0,51.0,48.0,34.0,45.0,46.0,34.0,17.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daley College,172.0,411.0,415.0,392.0,407.0,412.0,415.0,410.0,256.0,254.0,255.0,256.0,256.0,252.0,253.0,252.0,255.0,246.0,256.0,256.0,249.0,246.0,253.0,246.0,232.0,249.0,250.0,240.0,293.0,390.0,403.0,405.0,338.0,254.0,234.0,222.0,208.0,203.0,191.0,183.0,182.0,170.0,170.0,158.0,154.0,153.0,145.0,137.0,123.0,119.0,110.0,99.0,111.0,101.0,91.0,56.0,,,,,,,,,,
Gage Park,,,,206.0,246.0,253.0,277.0,295.0,282.0,294.0,302.0,313.0,322.0,329.0,329.0,326.0,388.0,388.0,384.0,376.0,385.0,389.0,380.0,385.0,381.0,373.0,378.0,369.0,358.0,398.0,393.0,377.0,368.0,344.0,355.0,354.0,353.0,344.0,310.0,309.0,297.0,279.0,258.0,226.0,80.0,,,,,,,,,,,,,,,,,,,,,
Harold Washington Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,106.0,113.0,156.0,115.0,113.0,107.0,107.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leone Beach,100.0,97.0,97.0,80.0,103.0,86.0,101.0,101.0,100.0,96.0,101.0,101.0,101.0,91.0,99.0,101.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,94.0,93.0,95.0,93.0,98.0,95.0,98.0,99.0,100.0,98.0,90.0,94.0,92.0,88.0,91.0,87.0,75.0,61.0,57.0,32.0,,,,,,,,,,,,,,,,,,,,,,,
High Ridge YMCA,158.0,126.0,148.0,149.0,124.0,145.0,149.0,149.0,153.0,160.0,156.0,160.0,158.0,158.0,155.0,160.0,159.0,159.0,158.0,156.0,157.0,155.0,158.0,151.0,149.0,151.0,153.0,157.0,154.0,154.0,113.0,159.0,257.0,131.0,145.0,150.0,146.0,142.0,131.0,133.0,121.0,117.0,113.0,105.0,92.0,75.0,,,,,,,,,,,,,,,,,,,,
Near South Health Center,,,,,,,48.0,131.0,126.0,125.0,155.0,154.0,153.0,150.0,152.0,155.0,155.0,155.0,154.0,153.0,146.0,155.0,154.0,153.0,154.0,151.0,153.0,154.0,154.0,157.0,155.0,160.0,156.0,154.0,148.0,135.0,117.0,100.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Life Church,,,,,25.0,40.0,40.0,,,,,,50.0,50.0,50.0,49.0,51.0,50.0,47.0,50.0,50.0,50.0,49.0,47.0,47.0,47.0,51.0,50.0,49.0,49.0,50.0,49.0,48.0,48.0,48.0,35.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Park Village,92.0,102.0,125.0,126.0,144.0,181.0,176.0,179.0,178.0,174.0,179.0,174.0,176.0,178.0,178.0,179.0,181.0,170.0,169.0,182.0,176.0,167.0,174.0,175.0,170.0,178.0,177.0,173.0,174.0,178.0,181.0,180.0,180.0,173.0,166.0,163.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piotrowski Park,195.0,197.0,200.0,197.0,200.0,192.0,196.0,198.0,198.0,198.0,195.0,200.0,200.0,197.0,200.0,195.0,200.0,198.0,197.0,200.0,200.0,202.0,197.0,186.0,174.0,180.0,200.0,198.0,199.0,200.0,196.0,198.0,187.0,180.0,161.0,145.0,141.0,146.0,140.0,138.0,142.0,142.0,138.0,,,,,,,,,,,,,,,,,,,,,,,
Shield of Hope,92.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wadsworth,596.0,598.0,588.0,591.0,568.0,570.0,584.0,581.0,586.0,595.0,593.0,607.0,623.0,611.0,619.0,623.0,626.0,611.0,616.0,621.0,621.0,629.0,621.0,611.0,618.0,621.0,621.0,619.0,625.0,623.0,631.0,642.0,625.0,616.0,597.0,586.0,601.0,584.0,578.0,548.0,531.0,534.0,499.0,528.0,577.0,572.0,545.0,503.0,84.0,,,,,,,,,,,,,,,,,
Wright,368.0,384.0,383.0,393.0,398.0,388.0,387.0,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELTER TOTAL,4647,4693,4830,5072,5166,5268,5407,5763,6054,6128,6360,6527,6662,6991,7370,8460,9361,9860,11018,11278,11749,11750,12125,12121,12198,13222,13600,14033,14505,14700,14734,14824,14649,14088,13749,13156,12722,12350,12084,11592,11207,10643,10208,9700,9398,8967,8605,8190,7793,7603,7387,7182,6937,6750,6310,5778,5870,5909,5673,5579,5565,5592,5551,5464,5470,5431
Minors Currently in Shelters,,1219.0,1288.0,1317.0,1359.0,1400.0,1437.0,1560.0,1714.0,1739.0,1805.0,1897.0,1965.0,2124.0,2341.0,2676.0,3178.0,3556.0,3881.0,3881.0,4119.0,4117.0,4286.0,4308.0,4339.0,4672.0,4744.0,4857.0,4998.0,5051.0,5070.0,5033.0,5016.0,4885.0,4752.0,4425.0,4394.0,4276.0,4153.0,4023.0,3861.0,3679.0,3521.0,3306.0,3199.0,3010.0,2847.0,2850.0,2754.0,2715.0,2643.0,2558.0,2486.0,2381.0,2264.0,2131.0,2060.0,2041.0,2002.0,1966.0,1971.0,1966.0,1950.0,1896.0,1883.0,1856.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
